Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,588,6,4,2,7,"0,62%"
Tarapacá,2.250,157,124,33,18,"2,37%"
Antofagasta,2.429,111,90,21,29,"2,56%"
Atacama,215,8,8,0,0,"0,23%"
Coquimbo,597,60,52,8,2,"0,63%"
Valparaíso,3.037,195,169,26,63,"3,20%"
Metropolitana,76.251,3.341,3.035,306,728,"80,38%"
O’Higgins,756,11,11,0,16,"0,80%"
Maule,1.256,76,59,17,15,"1,32%"
Ñuble,1.256,14,7,7,23,"1,32%"
Biobío,1.888,110,80,30,11,"1,99%"
Araucanía,2.060,71,47,24,47,"2,17%"
De los Ríos,345,15,12,3,6,"0,36%"
De los Lagos,860,38,33,5,13,"0,91%"
Aysén,16,0,0,0,0,"0,02%"
Magallanes,1.054,7,5,2,19,"1,11%"
Total,94.858,4.220,3.736,484,997,100%
