Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos totales,% Casos del total de acumulados
Arica - Parinacota,874,24,17,7,8,"0,63%"
Tarapacá,3.392,142,133,9,35,"2,44%"
Antofagasta,3.245,91,80,11,45,"2,34%"
Atacama,339,33,24,9,0,"0,24%"
Coquimbo,1.123,133,120,13,5,"0,81%"
Valparaíso,5.149,287,247,40,85,"3,71%"
Metropolitana,112.136,3.674,3.349,325,1.950,"80,76%"
O’Higgins,1.255,72,64,8,22,"0,90%"
Maule,2.176,67,51,16,18,"1,57%"
Ñuble,1.552,62,58,4,18,"1,12%"
Biobío,2.651,56,51,5,11,"1,91%"
Araucanía,2.410,33,26,7,32,"1,74%"
De los Ríos,425,8,4,4,8,"0,31%"
De los Lagos,1.010,7,7,0,12,"0,73%"
Aysén,21,1,0,1,0,"0,02%"
Magallanes,1.088,6,6,0,15,"0,78%"
Total,138.846,4.696,4.237,459,2.264,100%
