Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos totales,% Casos del total de acumulados
Arica - Parinacota,930,16,16,0,10,"0,63%"
Tarapacá,3.591,100,79,21,46,"2,42%"
Antofagasta,3.559,157,143,14,56,"2,40%"
Atacama,365,17,14,3,0,"0,25%"
Coquimbo,1.256,81,78,3,6,"0,85%"
Valparaíso,5.614,223,198,25,99,"3,78%"
Metropolitana,119.746,4.620,4.235,385,2.115,"80,64%"
O’Higgins,1.442,125,117,8,26,"0,97%"
Maule,2.440,151,123,28,18,"1,64%"
Ñuble,1.616,32,24,8,20,"1,09%"
Biobío,2.846,152,138,14,11,"1,92%"
Araucanía,2.488,43,42,1,33,"1,68%"
De los Ríos,452,6,6,0,8,"0,30%"
De los Lagos,1.041,13,12,1,12,"0,70%"
Aysén,21,0,0,0,0,"0,01%"
Magallanes,1.089,1,1,0,15,"0,73%"
Total,148.496,5.737,5.226,511,2.475,100%
