Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos totales, % Total
Arica - Parinacota,736,35,31,4,8,"0,62%"
Tarapacá,2.810,128,108,20,28,"2,38%"
Antofagasta,2.862,146,129,17,38,"2,42%"
Atacama,258,16,15,1,0,"0,22%"
Coquimbo,772,54,44,10,4,"0,65%"
Valparaíso,4.017,248,233,15,78,"3,40%"
Metropolitana,95.890,3.699,3.327,372,1.034,"81,06%"
O’Higgins,967,36,32,4,21,"0,82%"
Maule,1.732,137,117,20,21,"1,46%"
Ñuble,1.372,43,36,7,24,"1,16%"
Biobío,2.301,86,68,18,13,"1,95%"
Araucanía,2.182,9,6,3,47,"1,84%"
De los Ríos,379,7,6,1,8,"0,32%"
De los Lagos,926,13,13,0,13,"0,78%"
Aysén,19,1,1,0,0,"0,02%"
Magallanes,1.069,6,6,0,19,"0,90%"
Total,118.292,4.664,4.172,492,1.356,100%
