Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,636,17,13,4,8,"0,60%"
Tarapacá,2.526,165,152,13,22,"2,40%"
Antofagasta,2.585,75,67,8,32,"2,46%"
Atacama,232,14,8,6,0,"0,22%"
Coquimbo,668,40,33,7,2,"0,64%"
Valparaíso,3.348,181,166,15,70,"3,18%"
Metropolitana,85.239,4.735,4.436,299,824,"81,06%"
O’Higgins,813,28,23,5,18,"0,77%"
Maule,1.341,44,37,7,17,"1,28%"
Ñuble,1.290,33,32,1,23,"1,23%"
Biobío,2.070,91,75,16,11,"1,97%"
Araucanía,2.111,40,34,6,47,"2,01%"
De los Ríos,363,7,5,2,7,"0,35%"
De los Lagos,863,0,0,0,13,"0,82%"
Aysén,17,0,0,0,0,"0,02%"
Magallanes,1.057,1,1,0,19,"1,01%"
Total,105.159,5.471,5.082,389,1.113,100%
