Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos totales,% Casos del total de acumulados
Arica - Parinacota,850,31,31,0,8,"0,63%"
Tarapacá,3.250,156,119,37,35,"2,42%"
Antofagasta,3.154,121,106,15,44,"2,35%"
Atacama,306,25,12,13,0,"0,23%"
Coquimbo,990,92,84,8,4,"0,74%"
Valparaíso,4.862,282,255,27,83,"3,62%"
Metropolitana,108.462,5.268,4.797,471,1.884,"80,85%"
O’Higgins,1.183,72,56,16,20,"0,88%"
Maule,2.109,140,116,24,18,"1,57%"
Ñuble,1.490,20,19,1,18,"1,11%"
Biobío,2.595,105,87,18,11,"1,93%"
Araucanía,2.377,56,47,9,31,"1,77%"
De los Ríos,417,17,15,2,8,"0,31%"
De los Lagos,1.003,18,14,4,12,"0,75%"
Aysén,20,1,1,0,0,"0,01%"
Magallanes,1.082,1,1,0,14,"0,81%"
Total,134.150,6.405,5.760,645,2.190,100%
