Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,377,9,7,2,7,"0,91%"
Tarapacá,845,66,51,15,2,"2,04%"
Antofagasta,1.429,98,71,27,12,"3,45%"
Atacama,146,3,3,0,0,"0,35%"
Coquimbo,187,7,0,7,2,"0,45%"
Valparaíso,1.365,53,33,20,28,"3,29%"
Metropolitana,30.794,1.518,1.319,199,246,"74,33%"
O’Higgins,329,6,6,0,5,"0,79%"
Maule,551,11,9,2,14,"1,33%"
Ñuble,921,36,14,22,20,"2,22%"
Biobío,1.074,38,29,9,9,"2,59%"
Araucanía,1.587,23,16,7,43,"3,83%"
De los Ríos,219,0,0,0,6,"0,53%"
De los Lagos,644,3,3,0,11,"1,55%"
Aysén,8,0,0,0,0,"0,02%"
Magallanes,952,15,12,3,16,"2,30%"
Total,41.428,1.886,1.573,313,421,100%
