Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,522,9,8,1,7,"0,67%"
Tarapacá,1.737,107,97,10,8,"2,23%"
Antofagasta,2.063,48,44,4,23,"2,65%"
Atacama,188,3,2,1,0,"0,24%"
Coquimbo,384,46,37,9,2,"0,49%"
Valparaíso,2.455,150,133,17,57,"3,15%"
Metropolitana,62.285,3.355,3.074,281,567,"79,89%"
O’Higgins,654,66,59,7,13,"0,84%"
Maule,1.013,60,60,0,15,"1,30%"
Ñuble,1.147,8,8,0,22,"1,47%"
Biobío,1.502,44,40,4,10,"1,93%"
Araucanía,1.883,26,21,5,45,"2,42%"
De los Ríos,304,7,7,0,6,"0,39%"
De los Lagos,781,18,14,4,13,"1,00%"
Aysén,12,2,2,0,0,"0,02%"
Magallanes,1.031,15,12,3,18,"1,32%"
Total,77.961,3.964,3.618,346,806,100%
