Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,482,11,9,2,7,"0,74%"
Tarapacá,1.471,78,68,10,5,"2,25%"
Antofagasta,1.897,56,52,4,21,"2,90%"
Atacama,182,7,6,1,0,"0,28%"
Coquimbo,294,13,12,1,2,"0,45%"
Valparaíso,2.116,96,87,9,44,"3,24%"
Metropolitana,51.399,3.049,2.812,237,455,"78,60%"
O’Higgins,518,26,20,6,11,"0,79%"
Maule,823,41,37,4,15,"1,26%"
Ñuble,1.077,52,45,7,21,"1,65%"
Biobío,1.354,43,39,4,10,"2,07%"
Araucanía,1.774,37,30,7,45,"2,71%"
De los Ríos,274,12,10,2,6,"0,42%"
De los Lagos,727,10,5,5,13,"1,11%"
Aysén,8,0,0,0,0,"0,01%"
Magallanes,997,5,5,0,18,"1,52%"
Total,65.393,3.536,3.237,299,673,100%
