Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,541,19,17,2,7,"0,66%"
Tarapacá,1.811,74,70,4,11,"2,20%"
Antofagasta,2.137,74,65,9,25,"2,60%"
Atacama,197,9,8,1,0,"0,24%"
Coquimbo,455,71,64,7,2,"0,55%"
Valparaíso,2.576,121,111,10,58,"3,13%"
Metropolitana,66.011,3.726,3.421,305,595,"80,22%"
O’Higgins,691,37,24,13,14,"0,84%"
Maule,1.066,53,52,1,15,"1,30%"
Ñuble,1.174,27,24,3,22,"1,43%"
Biobío,1.565,63,54,9,10,"1,90%"
Araucanía,1.916,33,26,7,45,"2,33%"
De los Ríos,309,5,5,0,6,"0,38%"
De los Lagos,791,10,10,0,13,"0,96%"
Aysén,12,0,0,0,0,"0,01%"
Magallanes,1.037,6,5,1,18,"1,26%"
Total,82.289,4.328,3.956,372,841,100%
