Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,582,20,17,3,7,"0,64%"
Tarapacá,2.093,136,130,6,14,"2,31%"
Antofagasta,2.318,70,57,13,28,"2,56%"
Atacama,207,5,3,2,0,"0,23%"
Coquimbo,537,55,52,3,2,"0,59%"
Valparaíso,2.842,112,91,21,61,"3,14%"
Metropolitana,72.910,2.995,2.746,249,685,"80,44%"
O’Higgins,745,40,35,5,14,"0,82%"
Maule,1.180,60,55,5,15,"1,30%"
Ñuble,1.242,37,34,3,22,"1,37%"
Biobío,1.778,101,91,10,11,"1,96%"
Araucanía,1.989,35,24,11,47,"2,19%"
De los Ríos,330,12,6,6,6,"0,36%"
De los Lagos,822,8,6,2,13,"0,91%"
Aysén,16,2,2,0,0,"0,02%"
Magallanes,1.047,7,6,1,19,"1,16%"
Total,90.638,3.695,3.355,340,944,100%
