Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,422,24,21,3,7,"0,85%"
Tarapacá,1.109,53,40,13,4,"2,24%"
Antofagasta,1.648,59,43,16,16,"3,32%"
Atacama,158,1,1,0,0,"0,32%"
Coquimbo,239,27,21,6,2,"0,48%"
Valparaíso,1.639,86,72,14,32,"3,31%"
Metropolitana,37.591,3.140,2.802,338,318,"75,82%"
O’Higgins,442,24,13,11,7,"0,89%"
Maule,640,38,33,5,14,"1,29%"
Ñuble,988,3,3,0,21,"1,99%"
Biobío,1.172,28,25,3,9,"2,36%"
Araucanía,1.666,27,18,9,44,"3,36%"
De los Ríos,229,5,4,1,6,"0,46%"
De los Lagos,656,4,2,2,12,"1,32%"
Aysén,8,0,0,0,0,"0,02%"
Magallanes,972,1,1,0,17,"1,96%"
Total,49.579,3.520,3.099,421,509,100%
