Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,453,29,21,8,7,"0,79%"
Tarapacá,1.246,107,99,8,4,"2,16%"
Antofagasta,1.778,47,35,12,17,"3,09%"
Atacama,168,5,3,2,0,"0,29%"
Coquimbo,268,5,2,3,2,"0,47%"
Valparaíso,1.887,117,101,16,38,"3,28%"
Metropolitana,44.641,3.462,3.126,336,388,"77,53%"
O’Higgins,465,10,8,2,7,"0,81%"
Maule,731,51,44,7,15,"1,27%"
Ñuble,1.020,9,8,1,21,"1,77%"
Biobío,1.263,39,32,7,9,"2,19%"
Araucanía,1.715,35,25,10,44,"2,98%"
De los Ríos,258,11,10,1,6,"0,45%"
De los Lagos,693,27,14,13,13,"1,20%"
Aysén,8,0,0,0,0,"0,01%"
Magallanes,987,10,10,0,18,"1,71%"
Total,57.581,3.964,3.538,426,589,100%
