Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos totales,% Casos del total de acumulados
Arica - Parinacota,1.011,44,39,5,10,"0,63%"
Tarapacá,3.823,127,91,36,48,"2,38%"
Antofagasta,3.885,132,119,13,65,"2,42%"
Atacama,413,24,20,4,0,"0,26%"
Coquimbo,1.438,93,79,14,7,"0,89%"
Valparaíso,6.171,306,284,22,118,"3,84%"
Metropolitana,129.694,5.559,5.174,385,2.468,"80,63%"
O’Higgins,1.629,77,72,5,30,"1,01%"
Maule,2.691,131,116,15,19,"1,67%"
Ñuble,1.718,45,42,3,20,"1,07%"
Biobío,3.103,129,114,15,14,"1,93%"
Araucanía,2.579,44,35,9,35,"1,60%"
De los Ríos,479,17,14,3,9,"0,30%"
De los Lagos,1.083,21,14,7,12,"0,67%"
Aysén,22,0,0,0,0,"0,01%"
Magallanes,1.107,5,4,1,15,"0,69%"
Total,160.846,6.754,6.217,537,2.870,100%
