Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,359,8,7,1,7,"1,04%"
Tarapacá,615,37,31,6,1,"1,79%"
Antofagasta,1.216,107,91,16,11,"3,54%"
Atacama,139,5,5,0,0,"0,40%"
Coquimbo,153,5,0,5,1,"0,45%"
Valparaíso,1.123,94,79,15,24,"3,27%"
Metropolitana,24.965,2.256,1.826,430,184,"72,61%"
O’Higgins,248,24,18,6,4,"0,72%"
Maule,485,19,17,2,14,"1,41%"
Ñuble,839,13,11,2,19,"2,44%"
Biobío,975,33,27,6,9,"2,84%"
Araucanía,1.495,13,9,4,39,"4,35%"
De los Ríos,212,1,1,0,6,"0,62%"
De los Lagos,628,34,21,13,11,"1,83%"
Aysén,8,0,0,0,0,"0,02%"
Magallanes,921,11,9,2,16,"2,68%"
Total,34.381,2.660,2.152,508,346,100%
